Date,Mkt_Prem,SMB,HML,RMW,CMA,RF
2020-07-09,-0.53,-1.57,-2.61,-0.33,-0.55,0.001
2020-07-10,1.11,0.67,3.07,0.87,0.18,0.001
2020-07-13,-1.2,-0.28,2.04,1.09,1.09,0.001
2020-07-14,1.35,0.38,-0.29,-0.03,0.51,0.001
2020-07-15,1.14,2.7,1.25,0.19,0.08,0.001
2020-07-16,-0.37,-0.15,0.8,0.27,0.33,0.001
2020-07-17,0.3,-0.15,-1.43,-1.11,0.03,0.001
2020-07-20,1.01,-1.11,-2.37,-0.85,-1.2,0.001
2020-07-21,0.15,1.46,3.27,0.54,0.87,0.001
2020-07-22,0.49,-0.64,-0.37,0.5,0,0.001
2020-07-23,-1.2,1.22,1.97,-0.18,0.1,0.001
2020-07-24,-0.75,-0.81,0.44,0.28,0.03,0.001
2020-07-27,0.88,0.28,-1.99,-0.24,0.1,0.001
2020-07-28,-0.81,-0.45,1,0.29,0.06,0.001
2020-07-29,1.35,0.62,0.89,0.23,0.15,0.001
2020-07-30,-0.29,0.01,-1.84,-0.53,-0.14,0.001
2020-07-31,0.61,-1.84,-0.66,0.78,0.71,0.001
2020-08-03,0.98,1.08,-0.84,-0.25,0.4,0
2020-08-04,0.37,0.44,0.04,0.1,0.1,0
2020-08-05,0.78,1.24,0.83,0.17,-0.11,0
2020-08-06,0.53,-0.58,-0.83,0.6,0.06,0
2020-08-07,0.02,1.58,2.4,0.54,0.14,0
2020-08-10,0.24,1.33,1.73,0.83,1.28,0
2020-08-11,-0.83,0.19,1.64,0.92,0.03,0
2020-08-12,1.4,-0.85,-1.34,0.92,-0.16,0
2020-08-13,-0.01,-0.14,-1.33,-0.63,-0.5,0
2020-08-14,-0.04,0.06,1.08,0.44,0.2,0
2020-08-17,0.45,0.04,-1.93,-0.81,-0.46,0
2020-08-18,0.22,-1.32,-1.43,0.02,-0.54,0
2020-08-19,-0.38,0.48,0.1,-0.03,-0.11,0
2020-08-20,0.31,-0.96,-1.55,0.08,-0.45,0
2020-08-21,0.26,-1.25,-0.43,0.6,0.72,0
2020-08-24,0.92,0.2,2.59,1.14,0.58,0
2020-08-25,0.36,-0.01,-0.65,-0.47,-0.69,0
2020-08-26,1,-1.73,-1.74,-0.13,-0.85,0
2020-08-27,0.18,-0.01,0.95,0.59,-0.53,0
